,support,itemsets,length
0,0.9666666666666668,['GlobalSign-OCSP_H'],1
1,0.3,['tcp/46803_M'],1
2,1.0,['HTTPS_H'],1
3,0.3,['udp/6882_L'],1
4,1.0,['Baidu-ICMP_H'],1
5,0.9,['tcp/5228_H'],1
6,0.4333333333333333,['Sectigo-Sectigo_H'],1
7,0.4,['udp/51896_H'],1
8,1.0,['Tencent-NetBIOS.Session.Service_H'],1
9,0.8333333333333334,['Meta-NetBIOS.Session.Service_M'],1
10,0.4,['Fortinet-NetBIOS.Session.Service_L'],1
11,0.9666666666666668,['tcp/1688_H'],1
12,0.4666666666666667,['udp/62312_M'],1
13,0.4666666666666667,['Cisco-DNS_H'],1
14,0.3,['TrendMicro-Web_M'],1
15,0.9666666666666668,['Dell-NetBIOS.Session.Service_M'],1
16,0.4,['udp/51413_M'],1
17,0.6666666666666666,['GCore.Labs-CDN_H'],1
18,0.3333333333333333,['mail.ru-Web_M'],1
19,0.7,['Yahoo-Inbound_Email_H'],1
20,0.3333333333333333,['Shopify-Shopify_M'],1
21,0.4333333333333333,['HP-Web_M'],1
22,0.3666666666666666,['tcp/554_L'],1
23,0.8666666666666667,['Ingenuity-Ingenuity.Cloud.Service_M'],1
24,1.0,['Apple-Web_H'],1
25,0.8333333333333334,['X-WINDOWS_M'],1
26,0.4333333333333333,['Fortinet-FortiSASE_L'],1
27,1.0,['Sony-PlayStation.Network_H'],1
28,0.8333333333333334,['ByteDance-Lark_H'],1
29,0.4,['udp/5683_L'],1
30,0.7333333333333333,['Salesforce-NetBIOS.Session.Service_M'],1
31,1.0,['Akamai-Linode.Cloud_H'],1
32,0.4666666666666667,['tcp/5443_H'],1
33,0.4,['Zoom.us-Zoom.Meeting_M'],1
34,0.3666666666666666,['Cloudflare-ICMP_L'],1
35,0.9666666666666668,['Oracle-Oracle.Cloud_H'],1
36,0.4333333333333333,['Zendesk-NetBIOS.Session.Service_L'],1
37,0.3666666666666666,['tcp/6881_M'],1
38,0.6666666666666666,['udp/9803_M'],1
39,0.4666666666666667,['udp/6881_H'],1
40,1.0,['BuiltIn-Meta-Whatsapp_H'],1
41,0.5333333333333333,['Cloudflare-DNS_H'],1
42,0.3666666666666666,['OVHcloud-OVH.Telecom_L'],1
43,0.4,['udp/50003_L'],1
44,1.0,['NTP_H'],1
45,1.0,['Baidu-DNS_H'],1
46,0.6,['tcp/1_H'],1
47,0.6333333333333333,['udp/49304_H'],1
48,0.3,['tcp/58899_M'],1
49,0.9666666666666668,['Datadog-Datadog_H'],1
50,1.0,['Microsoft-Outlook_H'],1
51,0.3,['udp/51400_L'],1
52,0.4666666666666667,['Performive-Performive.Cloud_L'],1
53,1.0,['Alibaba-Alibaba.Cloud_H'],1
54,1.0,['HTTP_H'],1
55,0.4,['Bunny.net-CDN_M'],1
56,0.8666666666666667,['Adobe-Adobe.Experience.Cloud_H'],1
57,1.0,['Meta-Whatsapp_H'],1
58,1.0,['tcp/7680_H'],1
59,0.3,['tcp/48252_M'],1
60,0.3,['udp/55901_H'],1
61,0.8666666666666667,['udp/50084_H'],1
62,0.9333333333333332,['Kaspersky-Web_H'],1
63,0.7333333333333333,['Salesforce-Web_M'],1
64,0.3,['udp/58899_L'],1
65,0.9666666666666668,['NewRelic-Web_H'],1
66,0.9333333333333332,['SpaceX-Starlink_M'],1
67,0.3,['Zoho-Web_H'],1
68,0.4666666666666667,['Cisco-Webex.FedRAMP_M'],1
69,0.4,['Quad9-Quad9.Standard.DNS_L'],1
70,0.3,['Shopify-Shopify_H'],1
71,0.9666666666666668,['tcp/8181_H'],1
72,0.3,['tcp/9200_L'],1
73,0.7,['ESET-Eset.Service_M'],1
74,1.0,['Hetzner-Hetzner.Hosting.Service_H'],1
75,0.3,['tcp/12885_M'],1
76,0.3666666666666666,['Cloudflare-Other_M'],1
77,0.5666666666666667,['CacheFly-CDN_M'],1
78,0.5,['udp/5228_M'],1
79,0.9333333333333332,['tcp/2345_H'],1
80,0.5333333333333333,['Atlassian-Atlassian.Notification_M'],1
81,1.0,['Microsoft-Microsoft.Update_H'],1
82,0.8333333333333334,['EGI-EGI.Hosting.Service_M'],1
83,1.0,['Baidu-Web_H'],1
84,0.3666666666666666,['udp/49001_L'],1
85,1.0,['Hosting-Bulletproof.Hosting_H'],1
86,1.0,['Google-ICMP_H'],1
87,0.4666666666666667,['Xero-Web_M'],1
88,1.0,['Microsoft-Office365_H'],1
89,0.8,['Netflix-Web_H'],1
90,0.3333333333333333,['RDP_M'],1
91,0.4666666666666667,['Cato-Cato.Cloud_L'],1
92,0.5666666666666667,['DNS-Root.Name.Servers_H'],1
93,1.0,['Apple-Inbound_Email_H'],1
94,0.3333333333333333,['Marketo-Web_M'],1
95,0.5666666666666667,['udp/80_M'],1
96,0.4333333333333333,['SIP_L'],1
97,0.3,['tcp/8443_L'],1
98,0.3,['Medianova-CDN_L'],1
99,0.5,['tcp/51413_M'],1
100,0.9666666666666668,['Vultr-Vultr.Cloud_H'],1
101,0.3666666666666666,['udp/21909_M'],1
102,1.0,['IKE_H'],1
103,0.4,['Bitdefender-Web_H'],1
104,0.4666666666666667,['Nutanix-Nutanix.Cloud_M'],1
105,1.0,['tcp/43133_M'],1
106,0.5,['tcp/4460_H'],1
107,0.9333333333333332,['tcp/8728_M'],1
108,0.9666666666666668,['Dropbox-Web_H'],1
109,0.5,['udp/6881_M'],1
110,0.5333333333333333,['Microsoft-Azure_M'],1
111,0.9666666666666668,['INAP-INAP_H'],1
112,0.9,['Yandex-NetBIOS.Session.Service_M'],1
113,1.0,['DigitalOcean-DigitalOcean.Platform_H'],1
114,0.8333333333333334,['ServiceNow-NetBIOS.Session.Service_M'],1
115,1.0,['Citrix-Web_H'],1
116,0.4333333333333333,['RSH_M'],1
117,0.9666666666666668,['SMB_H'],1
118,0.9,['Yandex-Web_H'],1
119,0.4,['Spotify-Spotify_M'],1
120,0.9666666666666668,['Alibaba-DingTalk_H'],1
121,0.4,['tcp/4460_M'],1
122,1.0,['Valve-Steam_H'],1
123,1.0,['DNS_H'],1
124,0.3,['ESET-Eset.Service_H'],1
125,1.0,['Microsoft-Office365.Published_H'],1
126,0.3666666666666666,['NewRelic-NetBIOS.Session.Service_L'],1
127,0.3333333333333333,['Kaspersky-Other_M'],1
128,0.9666666666666668,['Apple-Other_H'],1
129,0.4666666666666667,['tcp/2323_L'],1
130,0.3,['udp/46803_L'],1
131,0.7333333333333333,['Sophos-Web_M'],1
132,0.5,['GoDaddy-Web_M'],1
133,0.9666666666666668,['tcp/5000_H'],1
